;lastpage;seed;age;colorVision;gender;gender[other];experienceAI_none;experienceAI_media;experienceAI__privateLife;experienceAI_work;experienceAI_relatedCourse;experienceAI_research;experienceAI_other;experienceHealth_none;experienceHealth_interested;experienceHealth_work;experienceHealth_doctor;experienceHealth_pulmonologist;experienceHealth_research;experienceHealth_xRays;experienceHealth_other;outcomeAI[1];condition;slider1;ownPrediction1;ownConfidence1[howConfident];aiPrediction1;confidence1[howConfident];justification1;slider2;ownPrediction2;ownConfidence2[howConfident];aiPrediction2;confidence2[howConfident];justification2;slider3;ownPrediction3;ownConfidence3[howConfident];aiPrediction3;confidence3[howConfident];justification3;slider4;ownPrediction4;ownConfidence4[howConfident];aiPrediction4;confidence4[howConfident];justification4;slider5;ownPrediction5;ownConfidence5[howConfident];aiPrediction5;confidence5[howConfident];justification5;slider6;ownPrediction6;ownConfidence6[howConfident];aiPrediction6;confidence6[howConfident];justification6;slider7;ownPrediction7;ownConfidence7[howConfident];aiPrediction7;confidence7[howConfident];justification7;slider8;ownPrediction8;ownConfidence8[howConfident];aiPrediction8;confidence8[howConfident];justification8;slider9;ownPrediction9;ownConfidence9[howConfident];aiPrediction9;confidence9[howConfident];justification9;slider10;ownPrediction10;ownConfidence10[howConfident];aiPrediction10;confidence10[howConfident];justification10;slider11;ownPrediction11;ownConfidence11[howConfident];aiPrediction11;confidence11[howConfident];justification11;slider12;ownPrediction12;ownConfidence12[howConfident];aiPrediction12;confidence12[howConfident];justification12;featurePneumonia;featureHealthy;explSatisfaction_makeDecision;explSatisfaction_satisfying;explSatisfaction_detail;explSatisfaction_complete;explSatisfaction_usefulToPredictAi;explSatisfaction_trust;TrustRating_trust;TrustRating_rely;CompetenceRating[1];EmotionRating_Anger;EmotionRating_Easygoing;EmotionRating_Happy;EmotionRating_ChilledOut;EmotionRating_Mad;EmotionRating_Satisfaction;EmotionRating_Calm;EmotionRating_Relaxation;EmotionRating_Enjoyment;EmotionRating_Pissed;EmotionRating_Liking;PracticalApplRating[1];PracticalApplAreas_additionToMedicalPersonel;PracticalApplAreas_diagnosis;PracticalApplAreas_supportForMedicalExplanation;PracticalApplAreas_routineExaminations;PracticalApplAreas_screeningAtHome;PracticalApplAreas_other;comment;totalTime;predictionTime1;predictionTime2;predictionTime3;predictionTime4;predictionTime5;predictionTime6;predictionTime7;predictionTime8;predictionTime9;predictionTime10;predictionTime11;predictionTime12;lastPageTime;ownPrediction1_correct;ownPrediction2_correct;ownPrediction3_correct;ownPrediction4_correct;ownPrediction5_correct;ownPrediction6_correct;ownPrediction7_correct;ownPrediction8_correct;ownPrediction9_correct;ownPrediction10_correct;ownPrediction11_correct;ownPrediction12_correct;aiPrediction1_correct;aiPrediction2_correct;aiPrediction3_correct;aiPrediction4_correct;aiPrediction5_correct;aiPrediction6_correct;aiPrediction7_correct;aiPrediction8_correct;aiPrediction9_correct;aiPrediction10_correct;aiPrediction11_correct;aiPrediction12_correct;correctOwnPredictionsTotal;correctAiPredictionsTotal;ignored_sliders;ownPred=AiPred;correct_own_Predictions_percent;correct_Ai_Predictions_percent;correct_Predictions_ForWrongAi_percent;correct_Predictions_ForCorrectAi_percent;meanConfidence;correctMeanConfidence;falseMeanConfidence;TimePrediction_mean;explSatisfaction_mean;Trust_mean;Anger_mean;Happy_mean;Relaxation_mean
43;18;894669066;30.0;N;1.0;;;;;Y;;Y;;;Y;;;;;;;2.0;2;1.0;sick;4.0;sick;4.0;Because there is something in the lower part of the right lung.;1.0;healt;4.0;healt;4.0;Difficult to see, seems reasonably clear;1.0;sick;5.0;sick;6.0;Cloudy build up in both lungs;1.0;sick;5.0;healt;4.0;Lungs seem clear;1.0;sick;6.0;sick;6.0;Cloudy mass in both lungs;1.0;sick;6.0;sick;5.0;Cloudy build up in both lungs;1.0;sick;4.0;sick;6.0;Very serious cloudyness in lungs;1.0;sick;6.0;sick;5.0;Very cloudy in lungs;1.0;sick;7.0;sick;6.0;Cloudy build up in both lungs;1.0;sick;4.0;sick;4.0;difficult to see, but lungs appear to be very cloudy;1.0;sick;6.0;sick;6.0;Looks like paint splattered all over the lungs.;1.0;sick;6.0;sick;5.0;cloudy build up in right lung;Spread of cloud in lungs;clear lungs;3.0;2.0;2.0;1.0;3.0;3.0;2.0;1.0;6.0;1.0;6.0;6.0;6.0;1.0;4.0;6.0;6.0;5.0;1.0;5.0;3.0;Y;;;Y;;;;2031.29;290.32;90.72;107.39;27.18;70.41;99.73;32.66;62.92;30.66;79.63;41.22;73.7;201.92;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;5;4;0;0.9166666666666666;0.4166666666666667;0.3333333333333333;0.3333333333333333;0.3333333333333333;5.083333333333333;5.25;5.0;83.87833333333332;2.3333333333333335;1.5;1.0;5.0;6.0
44;18;1061635578;46.0;N;2.0;;;Y;;;;;;Y;;;;;;;;6.0;2;1.0;sick;7.0;sick;7.0;The difference between the original and modified images is quite significant.;1.0;sick;6.0;sick;6.0;The left lung and right lung look different ie one is cloudier.;1.0;sick;3.0;sick;4.0;I'm not sure. I'm 50/50 on this one.;1.0;sick;4.0;sick;4.0;Cloudiness around the perimeter of the heart.;1.0;sick;7.0;sick;3.0;There is reasonable contrast and the images of pneumonia sufferers have little contrast.;1.0;sick;6.0;sick;6.0;The image is very cloudy. There is not much black and white contrast.;1.0;sick;4.0;sick;5.0;Image is very cloudy. No black and white contrast.;1.0;healt;7.0;healt;6.0;Good black and white contrast.;1.0;healt;6.0;sick;4.0;The x ray image only looks clear when compared to the modified image. Initially I thought the first image showed pneumonia.;1.0;sick;7.0;sick;7.0;The lungs look very very cloudy.;1.0;healt;7.0;healt;6.0;The image looks quite clear. There is good contrast.;1.0;healt;7.0;healt;7.0;The difference between the two images is quite significant.;The lack of black and white contrast and cloudiness of the image. It may also look to see if the left lung looks similar to the right lung.;If there is a lot of black and white contrast and little cloudiness in the image. It may also look to see if the left lung looks identical to the right lung in terms of contrast and cloudiness.;3.0;2.0;3.0;3.0;5.0;3.0;4.0;4.0;8.0;1.0;6.0;5.0;6.0;1.0;6.0;5.0;5.0;6.0;1.0;6.0;3.0;Y;;Y;;;;;3534.63;152.14;89.75;143.6;57.15;94.81;56.39;100.32;75.6;137.62;50.52;77.6;99.86;1913.76;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;6;9;0;0.9166666666666666;0.5;0.75;0.8333333333333334;0.6666666666666666;5.416666666666667;5.444444444444445;5.333333333333333;94.61333333333333;3.1666666666666665;4.0;1.0;5.75;5.5
48;18;120111775;47.0;N;1.0;;;;Y;;;;;;Y;;;;;;;5.0;0;1.0;sick;6.0;sick;6.0;Although it has medical equipment it has very bright highlighting.;1.0;sick;6.0;healt;2.0;Deep shadowing not detected.;1.0;healt;6.0;healt;6.0;Images seem to show clear lungs.;1.0;healt;6.0;healt;6.0;Clear lung on view with little issues shown.;1.0;sick;6.0;sick;6.0;Shadowing of right lung.;1.0;sick;7.0;sick;6.0;Shadowing on both lungs.;1.0;healt;6.0;healt;5.0;Only slight area of actual lung highlighted.;1.0;healt;7.0;healt;7.0;No issues detected in either lung.;1.0;healt;7.0;healt;7.0;No issues seen on image.;1.0;sick;7.0;sick;7.0;Extreme shadowing present on image.;1.0;sick;7.0;sick;7.0;Large presence in left lung highlighted.;1.0;sick;6.0;sick;6.0;Right lung shows high concentration.;It is difficult to say from the sample size. I initially thought it used a brighter greyscale to predict but this changed as time went on and it became more random.;Initially a clear view of the ribs with darkness between. This became more random though.;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;6.0;6.0;6.0;2.0;4.0;6.0;6.0;6.0;2.0;5.0;1.0;Y;Y;Y;Y;Y;;;1277.01;171.77;36.37;24.43;32.8;64.18;23.63;34.64;29.44;32.8;32.73;45.37;36.93;200.86;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;9;6;0;0.9166666666666666;0.75;0.5;0.3333333333333333;0.6666666666666666;5.916666666666667;6.166666666666667;5.666666666666667;47.09083333333333;1.0;1.0;1.6666666666666667;5.25;6.0
49;18;2025513355;40.0;N;1.0;;;Y;Y;;;;;;Y;;;;;;;5.0;2;1.0;sick;7.0;sick;7.0;The un-edited version of the image has appears cloudy, which would appear consistent with pneaumonia cases;1.0;sick;7.0;sick;7.0;The un-edited version of the image has appears cloudy, which would appear consistent with pneaumonia cases;0.98;sick;7.0;sick;7.0;The un-edited version of the image has appears cloudy, which would appear consistent with pneaumonia cases;1.0;healt;5.0;healt;5.0;The un-edited version of the image has appears to be quite clear, the lungs appear dark and not cloudy.;0.95;sick;5.0;sick;4.0;The un-edited version of the image has appears cloudy, which would appear consistent with pneaumonia cases;0.97;sick;7.0;sick;7.0;The un-edited version of the image has appears cloudy, which would appear consistent with pneaumonia cases;1.0;healt;4.0;healt;4.0;Although the picture would appear cloudy, i can see the rib cage which I could not in the previous images, which leads me to believe that this image may be of a lower quality;0.96;sick;5.0;healt;4.0;The un-edited version of the image has appears to be slightly cloudy, which would appear consistent with pneaumonia cases;1.0;healt;7.0;healt;6.0;The un-edited version of the image has appears clear, which would appear consistent with non-pneaumonia cases;1.0;sick;6.0;sick;6.0;The un-edited version of the image has appears very cloudy, which would appear consistent with pneaumonia cases;1.0;sick;5.0;sick;5.0;The un-edited version of the image has appears slightly cloudy, which would appear consistent with pneaumonia cases;0.97;healt;7.0;healt;7.0;The un-edited version of the image has appears clear, which would appear consistent with non-pneaumonia cases;The cloudiness of the lower part of the lungs;It is looking for a darker set of lungs;4.0;4.0;3.0;3.0;3.0;4.0;4.0;4.0;7.0;1.0;6.0;4.0;4.0;1.0;5.0;6.0;6.0;5.0;1.0;5.0;4.0;;Y;Y;;Y;;;1006.24;80.69;17.24;29.55;50.82;29.4;19.67;83.88;36.5;27.4;26.61;29.51;29.7;171.11;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;8;9;0;0.9166666666666666;0.6666666666666666;0.75;0.5;1.0;5.75;5.888888888888889;5.333333333333333;38.41416666666667;3.5;4.0;1.0;4.75;5.5
50;18;1810251108;60.0;N;2.0;;;Y;;;;;;;Y;;;;;;;2.0;1;1.0;sick;4.0;healt;4.0;It looked at the top of the lungs which are clear;1.0;sick;5.0;sick;5.0;Heat map areas look cloudy;0.89;healt;4.0;healt;4.0;Not at all sure - cloudiness at heat spots could be shadows;0.9;sick;4.0;sick;4.0;Some cloudiness ;0.98;healt;4.0;healt;3.0;I'm not at all sure, lungs look clear but AI looking at a part near heart which could be cloudy;0.98;sick;4.0;sick;4.0;Not really sure, X-ray seems cloudy all over;1.0;healt;4.0;healt;4.0;The lungs look clear;0.99;sick;4.0;sick;4.0;Bottom of lungs looked at & it's cloudy ;1.0;healt;5.0;healt;5.0;Heat spots clear;1.0;sick;5.0;sick;5.0;Areas looked at are cloudy;0.87;sick;4.0;healt;4.0;Areas looked at are clear;1.0;healt;4.0;healt;4.0;Heat map areas clear, lower one probably shadow;Areas of cloudiness;Clear areas (dark areas);3.0;3.0;2.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;5.0;1.0;1.0;1.0;1.0;2.0;;;Y;;;;No;1060.04;103.63;39.91;73.24;43.58;70.22;54.11;54.63;62.4;26.84;38.93;67.24;37.9;164.54;1;1;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;7;7;0;0.8333333333333334;0.5833333333333334;0.5833333333333334;0.6666666666666666;0.5;4.166666666666667;4.285714285714286;4.0;56.05249999999999;2.6666666666666665;2.0;1.0;1.25;2.0
51;18;1888615655;31.0;N;1.0;;;Y;;;;;;Y;;;;;;;;3.0;2;1.0;sick;4.0;sick;3.0;The image looks cloudy in the lungs area and looks similar to examples of duffers, i think the AI would do the same based upon data it has been given.;1.0;sick;1.0;sick;1.0;Again think from the condition and image of the lings it would detect it.;1.0;healt;1.0;sick;1.0;Feels it would detect it from this image.;1.0;healt;1.0;healt;1.0;;1.0;sick;3.0;sick;2.0;;0.86;sick;1.0;sick;1.0;it feels to me that i think it would detect it in this image. from the image of the lungs.;1.0;healt;2.0;healt;1.0;;1.0;healt;3.0;sick;3.0;again seems like a cloudy substance in the lungs, i think the AI would assume it is the condition.;1.0;sick;1.0;sick;1.0;i think it would pick up some similarities to its test data;1.0;sick;5.0;sick;5.0;Again like previous seems there is some white area's which i think the AI would pick up and assume it is it.;1.0;healt;3.0;healt;3.0;I don't think it would pick anything up and it would see a normal healthy pair of lungs.;1.0;healt;2.0;healt;4.0;There doesn't look much like there is and i tihnk the AI  would not detect any.;"I feel it looks at the lower part of the lungs and at the inner edge to detect a build up of ""white"" spots or area's.";I looks for more black area's which have while long strips which would be what normal lungs should look like.;2.0;3.0;2.0;3.0;2.0;4.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;4.0;1.0;2.0;Y;;Y;;;;AI has come a long way but still has a long way to go before it as good as a trained human in the profession. I personally have Very little cofidence in my ability of detect it and the AI seems quite a bit better but still i feel  a need to have both a human and AI to look at tests like these together as the AI might show something the DR might miss but over all should be solely relied on..;1184.27;99.19;32.49;23.99;13.85;16.56;55.97;18.35;74.67;50.83;54.89;34.44;67.52;286.76;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;1;6;8;0;0.8333333333333334;0.5;0.6666666666666666;0.6666666666666666;0.6666666666666666;2.1666666666666665;2.0;2.5;45.229166666666664;2.6666666666666665;1.0;2.6666666666666665;1.5;1.0
53;18;784779255;21.0;N;1.0;;;Y;;;;Y;;;Y;;;;;;;5.0;1;1.0;sick;6.0;healt;6.0;The heatmap selected part of the lungs which are the clearest.;1.0;sick;7.0;sick;7.0;The x-ray is very cloudy and the heat map locked onto the right lung, heart and abodmen region which are very like indicators of penumonia according to the x-ray.;1.0;sick;4.0;sick;6.0;The heatmap selected the abdominal region and the bottom part of the lung which are cloudy and indicates pneumonia.;1.0;sick;5.0;sick;3.0;The heatmap mostly locked onto the bottom part of the lungs which are cloudy but it also selected the upper part of the left lung which is clear so it could go either way.;1.0;sick;3.0;healt;6.0;The heatmap chose the left lung which is mostly clear so the AI will think pneumonia is not present.;1.0;sick;7.0;sick;6.0;The x-ray is very cloudy which indicates pneumonia.;1.0;sick;7.0;sick;4.0;The heatmap chose areas that are partially clear and cloudy so it could go either way but I think it will detect pneumonia.;1.0;healt;7.0;healt;4.0;The heatmap selected the parts that are not likely to be indicators of pneumonia.;1.0;healt;7.0;healt;5.0;The lungs are mostly clear but the heatmap did check part of the right lung that could have pneumonia.;1.0;sick;7.0;sick;7.0;The x-ray is very cloudy and the heatmap selected the blurred part of the lungs which shows pnemunonia.;1.0;healt;5.0;healt;5.0;The AI heatmap mostly chose areas that are clear;1.0;healt;5.0;healt;5.0;The x-ray shows that the lungs are mostly clear and the heatmap mostly chose the clear part of the left lung.;The AI checks how blurred or cloudy the regions that the heatmap has chosen. If the heatmap has chosen cloudy areas, then it is likely to predict pneumonia.;The AI checks the clarity of the regions the heatmap has selected. If the area is clear, it predicts that the lungs are healthy.;4.0;5.0;3.0;2.0;4.0;3.0;4.0;4.0;8.0;1.0;3.0;4.0;5.0;1.0;6.0;4.0;4.0;6.0;2.0;6.0;5.0;;Y;Y;Y;;;This was a interesting survey.;2355.17;157.26;133.93;137.85;137.48;161.91;97.03;147.05;96.33;127.77;85.13;116.7;86.95;359.22;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;1;6;8;0;0.8333333333333334;0.5;0.6666666666666666;0.6666666666666666;0.6666666666666666;5.333333333333333;5.125;5.75;123.78249999999998;3.5;4.0;1.3333333333333333;5.5;4.0
55;18;649493447;26.0;N;1.0;;;Y;;;;;;Y;;;;;;;;6.0;1;1.0;healt;3.0;healt;2.0;The green areas don't appear to be affected ;0.68;sick;6.0;sick;6.0;Appears to be an infection in the green areas;0.53;sick;2.0;sick;2.0;green areas appear infected;0.75;healt;6.0;healt;7.0;no infection present;0.39;sick;5.0;sick;5.0;green areas appear infected;0.77;sick;5.0;sick;4.0;appears infected;0.57;sick;4.0;sick;7.0;appears to be infection in the green areas;1.0;sick;2.0;sick;2.0;The green areas appear infected;0.8;healt;5.0;healt;4.0;not sure;0.96;sick;7.0;sick;7.0;appears to be infected;0.6;healt;4.0;healt;4.0;green areas appear clear ;0.87;healt;5.0;healt;6.0;doesn't appear to be an infection in the green area;The cloudiness of the image;The clarity of the image;4.0;2.0;2.0;2.0;2.0;3.0;4.0;4.0;4.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;1.0;5.0;Y;Y;Y;Y;Y;;;650.67;49.31;22.79;26.05;21.65;19.19;95.98;20.06;39.19;14.68;14.37;25.84;21.78;92.71;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1;5;7;0;1.0;0.4166666666666667;0.5833333333333334;0.6666666666666666;0.5;4.666666666666667;4.428571428571429;5.0;30.9075;2.5;4.0;2.6666666666666665;1.0;1.0
56;18;1171648218;41.0;N;2.0;;;Y;;;;;;;Y;;;;;;;4.0;2;1.0;sick;6.0;sick;7.0;Because the image indicated a cloudier lung area on both sides. ;-1.0;sick;7.0;sick;7.0;cloudy lung area. ;0.99;sick;5.0;sick;3.0;because the lungs seem to have cloudiness. ;0.75;sick;4.0;sick;6.0;because the lung area seemed cloudier. ;1.0;sick;5.0;sick;4.0;cloudy lungs?;0.9;sick;5.0;sick;6.0;cloudy lung area. ;1.0;sick;5.0;sick;3.0;I think because the lung area is quite cloudy.;0.93;healt;5.0;healt;4.0;seems clearer. ;0.88;healt;6.0;healt;6.0;fairly clear lung area. ;1.0;sick;7.0;sick;7.0;Very cloudy lung area. ;0.83;healt;7.0;healt;7.0;fairly clear lung area. ;0.88;healt;5.0;healt;6.0;fairly clear lung area. ;how cloudy the lung area is. ;how clear the lung area is. ;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;8.0;1.0;1.0;2.0;2.0;1.0;5.0;1.0;1.0;3.0;1.0;2.0;5.0;Y;Y;Y;Y;Y;;It's the future! ;855.47;56.62;17.15;49.57;51.49;56.11;26.28;73.64;36.25;23.58;36.63;37.74;32.99;102.35;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;6;10;1;1.0;0.45454545454545453;0.8181818181818182;0.8333333333333334;0.8;5.363636363636363;5.444444444444445;5.0;43.71818181818182;4.833333333333333;4.0;1.0;3.0;1.25
57;18;1724691568;31.0;N;2.0;;Y;;;;;;;Y;;;;;;;;4.0;2;1.0;sick;5.0;sick;6.0;The image is consistent with others shown before that had pneumonia, and I believe in the AI's ability to identify this. Also, changing the slider to the right presents an image that I think the AI would classify as not suffering.;1.0;sick;6.0;sick;6.0;I think this is one of the more obvious images, so even basic AI training should identify it as suffering from pneumonia.;1.0;sick;5.0;sick;5.0;Comparing the left and right slider images suggests to me that the AI would interpret the original image as suffering from pneumonia, as there is quite a contrast. ;1.0;sick;4.0;sick;5.0;The modified image looks much more like someone not suffering from pneumonia, so the AI would make the decision of suffering from pneumonia.;1.0;sick;6.0;sick;7.0;There is enough of a contrast when moving the slider to indicate that the original image shows a pneumonia sufferer.;1.0;sick;5.0;sick;6.0;The cleaner image that would be needed to change the AI's decision suggests that the AI would interpret the original image as suffering from pneumonia.;1.0;sick;4.0;healt;2.0;There is not enough of a contrast between the two slider images for me to think that the AI could distinguish this as suffering from pneumonia.;1.0;healt;4.0;healt;5.0;Moving the slider to the right presents more of an image of pneumonia to me, so I think the AI will interpret the original image as free from pneumonia.;1.0;sick;4.0;healt;3.0;The modified image suggests to me that the AI interprets the original image as not suffering from pneumonia.;1.0;sick;7.0;healt;4.0;The modified image looks even more like someone suffering from pneumonia, so I think the AI will make its decision with this in mind.;1.0;healt;3.0;healt;4.0;I think the AI would recognise this as not suffering from pneumonia, as comparing it to the right slider image suggests this outcome.;1.0;sick;2.0;healt;3.0;I think there is quite a contrast between the two slider extremes, meaning the AI would interpret it as not suffering from pneumonia.;I think the AI identifies the area of the image where the lungs are located, and then looks for cloudy, non-transparent coverage.;I think the AI focuses on the lung area of the image, and then looks for clearer, cleaner coverage, with more of the black background showing through.;3.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;4.0;1.0;3.0;3.0;4.0;1.0;5.0;7.0;5.0;3.0;1.0;4.0;3.0;Y;;Y;;;;;1628.54;133.1;72.65;90.4;90.89;85.42;77.01;73.27;60.79;80.2;69.52;88.92;70.86;239.9;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;12;0;0.6666666666666666;0.5;1.0;1.0;1.0;4.666666666666667;4.666666666666667;NaN;82.7525;2.1666666666666665;2.0;1.0;3.75;4.75
58;18;743037845;36.0;N;1.0;;;Y;;;;;;;Y;;;;;;;2.0;1;1.0;sick;5.0;sick;3.0;A high enough concentration of green on the heat index, and a very cloudy x-ray.;1.0;sick;5.0;sick;2.0;I can't tell if the fogginess is the x-ray or the subject, but the green patches seem to be concentrated sufficiently.;1.0;sick;1.0;sick;2.0;The x-ray looks a bit foggy, and the green patches high enough in concentration.;0.68;healt;6.0;healt;4.0;The x-ray is not very cloudy, and while there are green markers on the heat index, they are more dispersed.;0.9;healt;2.0;sick;1.0;I'm back to guessing by a concentration of green patches.;0.69;healt;5.0;healt;3.0;The green patches are only on one side, previously the AI has favored symmetry.;1.0;healt;5.0;healt;3.0;There's very little green on the heat index, but the x-ray itself seems lower quality.;0.97;healt;4.0;sick;1.0;I really am not at all certain what to expect from the AI on this one.;0.97;healt;6.0;healt;2.0;I am now less certain as to the AI's criteria, but I'm guessing there's not enough green on the heat index.;0.36;sick;5.0;sick;1.0;A very foggy x-ray.;0.74;healt;5.0;healt;1.0;I have started to disregard the green patches, and expect the AI to mostly notice fogginess the way that I do.;1.0;healt;4.0;sick;4.0;The x-ray looks fine to me, but the green on the heat index seems to match the AI's criteria as I understand them.;"Clearly, it has more to do with concentrations of green on the heat index; but I couldn't figure out the consistency of its method.";I'm really not sure.;2.0;2.0;2.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;3.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;4.0;Y;Y;;Y;;;I neither trust nor distrust this AI, as I failed to understand its methods. For all I know, it may be wholly arbitrary as I am no kind of medical expert.;1228.5;95.02;65.56;65.63;62.26;44.36;51.56;51.29;63.63;70.51;36.89;66.98;59.9;223.75;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;10;7;0;0.75;0.8333333333333334;0.5833333333333334;0.3333333333333333;0.8333333333333334;2.25;2.0;2.6;61.1325;1.5;3.0;1.6666666666666667;1.25;1.75
59;18;424106523;49.0;N;2.0;;;;;;;;I have done some AI related tasks on platforms like Clickworker eg checking transcription;Y;;;;;;;;4.0;1;0.86;sick;4.0;sick;4.0;The cloudiness of the image and the green areas.;1.0;sick;6.0;sick;3.0;The amount of green;0.7;healt;3.0;sick;2.0;The amount of green;0.8;healt;5.0;healt;3.0;Most green area is away from the lungs.;0.71;healt;3.0;healt;3.0;Not much green;0.67;sick;3.0;healt;2.0;Not much green in the right place;0.89;sick;6.0;healt;3.0;Not much green ;0.98;healt;6.0;healt;3.0;The amount of green area.;0.75;healt;3.0;healt;2.0;A small amount of green.;1.0;sick;6.0;sick;4.0;The high up green areas;0.97;healt;4.0;sick;3.0;The amount of green area.;1.0;healt;3.0;healt;3.0;Based on the green areas.;Heat;Heat;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;4.0;1.0;3.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;1.0;;;Y;;;;;1640.01;161.11;40.32;70.56;70.77;39.34;48.84;51.44;56.03;66.41;81.38;77.83;94.58;218.83;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;1;7;7;0;0.6666666666666666;0.5833333333333334;0.5833333333333334;0.16666666666666666;1.0;2.9166666666666665;2.857142857142857;3.0;71.55083333333334;1.0;1.0;1.0;1.5;2.5
62;18;2084815651;46.0;N;1.0;;;Y;Y;;;;;;Y;;;;;;;3.0;1;1.0;sick;5.0;sick;5.0;because its look like its infected lungs;1.0;sick;6.0;healt;5.0;it has little patches ;1.0;healt;6.0;sick;6.0;its look like infected;1.0;sick;4.0;sick;4.0;its look infected;1.0;healt;5.0;sick;6.0;In AI decision look like it is infected ;1.0;sick;6.0;healt;5.0;it doesn't look infected through the decision of AI ;1.0;sick;6.0;healt;6.0;I think it has pneumonia but its look like in AI decision dose not have.;0.99;healt;6.0;healt;6.0;because its look like does not infected ;1.0;healt;6.0;sick;5.0;because its show in patches it suffering   ;1.0;sick;6.0;sick;5.0;its looks like very infected;1.0;sick;6.0;sick;6.0;its look like infected ;1.0;sick;5.0;sick;5.0;It's look like suffering from pneumonia  ;yes but it is not perfect;sometime;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;8.0;2.0;5.0;4.0;4.0;5.0;6.0;6.0;5.0;6.0;2.0;6.0;4.0;Y;Y;Y;;Y;;Thanks for giving me chance in this fabulous survey ;5834.21;492.98;58.63;127.57;1182.07;114.42;90.18;204.29;89.06;101.16;63.48;41.21;1998.52;263.52;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;8;6;0;0.5;0.6666666666666666;0.5;0.3333333333333333;0.6666666666666666;5.333333333333333;5.5;5.166666666666667;380.29749999999996;4.0;3.5;3.0;5.5;5.0
64;18;1929526585;29.0;N;2.0;;Y;;;;;;;;Y;;;;;;;4.0;2;1.0;sick;7.0;sick;1.0;I gave the AI the benefit of the doubt, and I figured the AI probably got it right.;1.0;sick;7.0;sick;5.0;I think the AI got this one right based on their previous decisions.;1.0;sick;7.0;sick;7.0;I think the AI is trained enough to get this one right.;1.0;sick;6.0;sick;6.0;I feel the AI knows enough to get this one right.;1.0;sick;7.0;sick;5.0;Because I think the AI got it right. This one seems like a no-brainer to me.;1.0;sick;7.0;sick;4.0;This one, to me, is pretty clear. I think the person has pneumonia, and I believe the AI will think so as well. ;1.0;healt;7.0;healt;6.0;"I think the AI got it right; based on its past decisions, I feel the AI knows this one.";1.0;healt;6.0;healt;6.0;I think this one is pretty easy for the AI to get correctly.;1.0;healt;6.0;healt;1.0;I think the AI probably got this one right, but I am not sure.;1.0;healt;6.0;healt;2.0;I think the AI is trained well enough to get this right.;1.0;healt;5.0;healt;2.0;I think the AI got this one right because of their previous decisions.;1.0;healt;7.0;healt;6.0;I think the AI can correctly tell the difference between the two.;How cloudy the chest is in the x-ray.;How clear the chest is in the x-ray versus how cloudy it might be.;3.0;2.0;1.0;2.0;2.0;2.0;4.0;5.0;9.0;1.0;5.0;1.0;6.0;1.0;3.0;7.0;6.0;1.0;1.0;1.0;4.0;;Y;;Y;;;no;1594.68;113.89;96.48;49.76;47.33;79.59;75.96;79.52;57.13;79.14;79.0;59.02;42.89;249.99;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;12;0;1.0;0.5;1.0;1.0;1.0;4.25;4.25;NaN;71.6425;2.0;4.5;1.0;1.5;6.0
